application_id,high_freq_flag,id_inconsistent_flag,abnormal_region_flag,is_new_device,no_credit_history_flag,fraud_rule_count,fraud_risk_level,fraud_flag
APP000001,0,0,0,0,0,0,低风险,0
APP000002,1,0,0,1,1,3,高风险,1
APP000003,0,0,0,1,0,1,低风险,0
APP000004,0,0,0,0,0,0,低风险,0
APP000005,0,0,0,0,1,1,低风险,0
APP000006,0,0,0,0,0,0,低风险,0
APP000007,0,0,0,0,0,0,低风险,0
APP000008,0,0,0,0,1,1,低风险,0
APP000009,0,0,0,1,0,1,低风险,0
APP000010,0,0,0,0,1,1,低风险,0
APP000011,0,0,0,0,0,0,低风险,0
APP000012,1,1,1,1,0,4,高风险,1
APP000013,0,0,0,1,0,1,低风险,0
APP000014,0,0,0,0,0,0,低风险,0
APP000015,0,0,0,1,0,1,低风险,0
APP000016,0,0,0,0,0,0,低风险,0
APP000017,0,0,0,1,1,2,中风险,0
APP000018,0,0,0,1,0,1,低风险,0
APP000019,0,0,0,0,0,0,低风险,0
APP000020,0,0,0,0,1,1,低风险,0
APP000021,0,0,0,0,0,0,低风险,0
APP000022,0,0,0,0,0,0,低风险,0
APP000023,0,0,0,1,0,1,低风险,0
APP000024,0,0,0,1,1,2,中风险,0
APP000025,0,0,0,1,1,2,中风险,0
APP000026,0,0,0,1,1,2,中风险,0
APP000027,0,0,0,0,0,0,低风险,0
APP000028,0,0,0,0,1,1,低风险,0
APP000029,0,0,0,1,0,1,低风险,0
APP000030,0,0,0,0,1,1,低风险,0
APP000031,0,0,0,1,0,1,低风险,0
APP000032,0,0,0,0,0,0,低风险,0
APP000033,0,0,0,0,0,0,低风险,0
APP000034,1,0,1,1,1,4,高风险,1
APP000035,1,1,0,0,1,3,高风险,1
APP000036,0,0,0,1,1,2,中风险,0
APP000037,0,0,0,1,0,1,低风险,0
APP000038,0,0,0,1,0,1,低风险,0
APP000039,0,0,0,1,1,2,中风险,0
APP000040,0,0,0,0,0,0,低风险,0
APP000041,0,0,0,1,0,1,低风险,0
APP000042,0,0,0,0,1,1,低风险,0
APP000043,0,0,0,0,0,0,低风险,0
APP000044,1,0,0,1,1,3,高风险,1
APP000045,0,0,0,0,0,0,低风险,0
APP000046,0,0,0,0,0,0,低风险,0
APP000047,0,0,0,0,1,1,低风险,0
APP000048,0,0,0,0,0,0,低风险,0
APP000049,0,0,0,1,0,1,低风险,0
APP000050,0,0,0,0,0,0,低风险,0
APP000051,1,0,1,1,1,4,高风险,1
APP000052,0,0,0,1,0,1,低风险,0
APP000053,1,1,0,1,1,4,高风险,1
APP000054,0,0,0,0,0,0,低风险,0
APP000055,0,0,0,1,0,1,低风险,0
APP000056,1,0,1,0,1,3,高风险,1
APP000057,0,0,0,1,0,1,低风险,0
APP000058,0,0,0,0,0,0,低风险,0
APP000059,0,0,0,1,0,1,低风险,0
APP000060,0,0,0,1,0,1,低风险,0
APP000061,0,0,0,0,0,0,低风险,0
APP000062,0,0,0,0,0,0,低风险,0
APP000063,0,0,0,1,0,1,低风险,0
APP000064,0,0,0,0,0,0,低风险,0
APP000065,0,0,0,1,1,2,中风险,0
APP000066,0,0,0,0,0,0,低风险,0
APP000067,0,0,0,0,0,0,低风险,0
APP000068,0,0,0,1,0,1,低风险,0
APP000069,0,0,0,1,1,2,中风险,0
APP000070,1,0,0,1,1,3,高风险,1
